m,BRinv,Gh_SM,Ginv_per_lam2,LZ2024,Mdm,Mdm_ref,Mh,Omega,PandaX4T,XENON1T,Xf,lam_planck,n_iter,sSIn,sSIn_per_lam2,sSIp,sSIp_per_lam2,sigmaV
10.0,,0.0039441411726265,4.741938273734999,4.867832e-47,,10.0000701,,,4.443521e-46,5.410458e-46,,nan,4,,5.92253e-41,,5.782616000000001e-41,
11.103,,0.0039441410453632,4.7275495463679995,2.549657e-47,,11.1030631,,,3.121631e-46,3.295764e-46,,nan,4,,4.824377e-41,,4.709405999999999e-41,
12.328,,0.0039441409960935,4.709740039065,1.517321e-47,,12.3280568,,,2.180065e-46,2.15352e-46,,nan,4,,3.925224e-41,,3.8308919999999997e-41,
13.689,,0.0039441411221115,4.687678778884999,9.851887e-48,,13.6890512,,,1.545754e-46,1.488392e-46,,nan,4,,3.1900249999999994e-41,,3.112737e-41,
15.199,,0.0039441408068967,4.660361931033,6.946588e-48,,15.1990461,,,1.094347e-46,1.064456e-46,,nan,4,,2.590587e-41,,2.52733e-41,
16.876,,0.0039441408938258,4.626451061742,5.209176e-48,,16.8760415,,,8.387695e-47,8.017331e-47,,nan,2,,2.1019579999999998e-41,,2.0502429999999999e-41,
18.738,0.9925573,0.0039441414076833,4.584295923167,4.037626e-48,18.7392664,18.7380374,125.548349,0.12007629,6.443068e-47,6.378672e-47,21.45542,0.33872987589372977,4,1.955162e-42,1.7042479999999998e-41,1.906707e-42,1.662012e-41,2.099683e-26
20.806,0.9921085,0.0039441414176937,4.5317758230630005,3.270152e-48,20.8071138,20.8060337,125.548349,0.120073334,5.304691e-47,5.370101e-47,21.54701,0.3307830657808848,4,1.510691e-42,1.380812e-41,1.472987e-42,1.346349e-41,2.079781e-26
23.101,0.9915161,0.0039441411536554,4.466208463446,2.777405e-48,23.1019743,23.1010303,125.548349,0.120070422,4.923729e-47,4.751082e-47,21.64561,0.3212632639929248,4,1.154028e-42,1.118228e-41,1.125029e-42,1.090128e-41,2.059806e-26
25.65,0.9907008,0.003944140961384701,4.384000386153001,2.495425e-48,25.6508456,25.6500273,125.548349,0.120067261,4.535419e-47,4.385645e-47,21.74798,0.30959197479850165,4,8.674108e-43,9.050519e-42,8.454694e-43,8.821582999999998e-42,2.039284e-26
